import time: self [us] | cumulative | imported package
import time:     98516 |      98516 |         aiogram.types.checklist_tasks_done
import time:    104727 |     104727 |         aiogram.types.chosen_inline_result
import time:     88131 |      88131 |         aiogram.types.contact
import time:     76071 |      76071 |         aiogram.types.copy_text_button
import time:    110925 |     110925 |         aiogram.types.date_time_union
import time:     80119 |      80119 |         aiogram.types.dice
import time:     58816 |      58816 |         aiogram.types.direct_message_price_changed
import time:     94166 |      94166 |         aiogram.types.direct_messages_topic
import time:    150674 |     150674 |         aiogram.types.document
import time:     70087 |      70087 |         aiogram.types.downloadable
import time:     87695 |      87695 |         aiogram.types.encrypted_credentials
import time:     92652 |      92652 |         aiogram.types.encrypted_passport_element
import time:    107322 |     107322 |         aiogram.types.error_event
import time:    106229 |     106229 |         aiogram.types.external_reply_info
import time:    117848 |     117848 |         aiogram.types.file
import time:    115335 |     115335 |         aiogram.types.force_reply
import time:     92426 |      92426 |         aiogram.types.forum_topic
import time:    108649 |     108649 |         aiogram.types.forum_topic_closed
import time:     69307 |      69307 |         aiogram.types.forum_topic_created
import time:     91577 |      91577 |         aiogram.types.forum_topic_edited
import time:    156709 |     156709 |         aiogram.types.forum_topic_reopened
import time:    153613 |     153613 |         aiogram.types.game
import time:     62634 |      62634 |         aiogram.types.game_high_score
import time:     65002 |      65002 |         aiogram.types.general_forum_topic_hidden
import time:     64063 |      64063 |         aiogram.types.general_forum_topic_unhidden
import time:    113175 |     113175 |         aiogram.types.gift
import time:    138434 |     138434 |         aiogram.types.gift_info
import time:     65231 |      65231 |         aiogram.types.gifts
import time:    185956 |     185956 |         aiogram.types.giveaway
import time:     84274 |      84274 |         aiogram.types.giveaway_completed
import time:    176149 |     176149 |         aiogram.types.giveaway_created
import time:    113855 |     113855 |         aiogram.types.giveaway_winners
import time:    116237 |     116237 |           aiogram.types.maybe_inaccessible_message
import time:    104647 |     104647 |           aiogram.types.reply_parameters
import time:    120750 |     341633 |         aiogram.types.inaccessible_message
import time:     88806 |      88806 |         aiogram.types.inline_keyboard_button
import time:     88412 |      88412 |         aiogram.types.inline_keyboard_markup
import time:     79040 |      79040 |         aiogram.types.inline_query
import time:    123636 |     123636 |         aiogram.types.inline_query_result
import time:    134371 |     134371 |         aiogram.types.inline_query_result_article
import time:     97527 |      97527 |         aiogram.types.inline_query_result_audio
import time:     50654 |      50654 |         aiogram.types.inline_query_result_cached_audio
import time:     63789 |      63789 |         aiogram.types.inline_query_result_cached_document
import time:     85581 |      85581 |         aiogram.types.inline_query_result_cached_gif
import time:     99099 |      99099 |         aiogram.types.inline_query_result_cached_mpeg4_gif
import time:     68521 |      68521 |         aiogram.types.inline_query_result_cached_photo
import time:     55092 |      55092 |         aiogram.types.inline_query_result_cached_sticker
import time:     93080 |      93080 |         aiogram.types.inline_query_result_cached_video
import time:    132148 |     132148 |         aiogram.types.inline_query_result_cached_voice
import time:     73197 |      73197 |         aiogram.types.inline_query_result_contact
import time:     74949 |      74949 |         aiogram.types.inline_query_result_document
import time:    104043 |     104043 |         aiogram.types.inline_query_result_game
import time:    146655 |     146655 |         aiogram.types.inline_query_result_gif
import time:     50322 |      50322 |         aiogram.types.inline_query_result_location
import time:    141457 |     141457 |         aiogram.types.inline_query_result_mpeg4_gif
import time:    113659 |     113659 |         aiogram.types.inline_query_result_photo
import time:     92273 |      92273 |           aiogram.types.inline_query_result_venue
import time:     59403 |      59403 |           aiogram.types.inline_query_result_video
import time:     92827 |      92827 |           aiogram.types.inline_query_result_voice
